105.272 105.3896 104.9325 104.9255 105.0499 105.2214 
100.2112 102.7499 102.9676 103.4996 104.0216 104.2693 
98.8528 102.3059 103.4647 103.913 104.2955 104.4857 
100.1714 103.1748 103.6354 103.8943 104.1861 104.3177 
103.0764 103.7892 103.8646 103.8208 104.3832 104.6776 
101.9435 101.4394 102.8009 103.271 103.7481 103.9921 
99.4696 101.8408 102.7796 103.2387 103.5947 103.865 
99.8106 103.138 103.4745 103.7607 104.1016 104.216 
103.7087 104.395 104.8003 104.7968 104.9341 105.051 
103.8279 103.8741 104.5036 104.5909 104.8363 104.932 
105.2124 103.1729 103.7783 104.0949 104.3987 104.5497 
102.8043 102.2628 102.8101 103.2251 103.9108 104.1609 
98.3863 102.421 103.729 103.7599 104.2183 104.4513 
101.9832 101.7044 103.1087 103.2627 103.6292 103.798 
99.3429 101.6829 102.1028 102.6304 103.154 103.4696 
102.3043 103.3955 103.4858 103.9396 104.2025 104.3746 
102.818 102.767 103.6572 103.8116 104.151 104.3023 
102.818 102.9689 103.0614 103.3617 104.0309 104.3778 
100.8006 100.5384 102.4612 103.0993 103.5964 103.974 
101.2944 101.8686 103.0839 103.5097 103.8568 104.026 
105.2658 102.4736 103.0623 103.654 104.1458 104.3838 
100.2708 103.3627 103.4919 103.8285 104.0647 104.2889 
103.7683 103.195 102.72 103.4002 104.068 104.3676 
103.2944 102.7841 103.3577 103.8241 104.2016 104.4213 
100.1578 102.1654 103.3795 103.7379 104.0523 104.2789 
102.6056 103.8143 103.8047 104.0243 104.3157 104.557 
98.6938 102.3713 102.6749 102.9891 103.454 103.8363 
102.9373 103.1349 103.8072 104.3275 104.5505 104.7702 
100.1913 102.5602 103.2347 103.437 103.9688 104.4901 
99.8106 102.6253 103.3942 103.761 104.0813 104.3274 
100.7808 103.7056 104.4264 104.3372 104.5068 104.6371 
98.7137 101.7209 102.4736 102.8482 103.2691 103.6202 
100.4398 101.2717 101.9716 102.5226 103.4832 103.9039 
98.3863 101.0398 102.3417 102.7692 103.4458 103.7882 
100.5255 102.163 103.074 103.0962 103.5988 103.9624 
98.2932 101.9988 103.0439 103.1771 103.3351 103.5868 
102.4099 102.6301 103.568 103.8285 104.1264 104.2793 
103.3279 103.5513 103.9015 104.2221 104.4158 104.4793 
100.4286 102.68 103.5369 103.9796 104.4614 104.6454 
99.4025 102.2651 103.3545 103.6853 104.1107 104.3483 
103.023 103.1253 103.7199 104.019 104.4361 104.6471 
102.8043 102.3117 103.8318 103.9133 104.2615 104.4749 
102.5522 102.918 103.318 103.9693 104.2541 104.5537 
