"cenario","metodo","percentual_p","media_r","sd_r","n_r","media_rmse","sd_rmse","n_rmse","media_delta_r","sd_delta_r","n.x","media_delta_rmse","sd_delta_rmse","n.y"
"C1","GBLUP",5,0.676843327763221,0.040204942607679,5,1.43812270407282,0.0507487128600682,5,-0.0404342005160508,0.02759204083431,5,-0.0687669148728469,0.0519272627276643,5
"C1","GBLUP",1,0.606823179620905,0.0849575285545795,5,1.54166185868743,0.109707470756476,5,0.0295859476262649,0.0776316647449455,5,0.0347722397417634,0.0997348176775494,5
"C1","MARS",100,0.815377901588295,0.0295699769465001,5,1.12646616892735,0.093699242977476,5,0,0,5,0,0,5
"C1","MARS",50,0.815377901588295,0.0295699769465001,5,1.12646616892735,0.093699242977476,5,0,0,5,0,0,5
"C1","MARS",25,0.815377901588295,0.0295699769465001,5,1.12646616892735,0.093699242977476,5,0,0,5,0,0,5
"C1","MARS",10,0.815377901588295,0.0295699769465001,5,1.12646616892735,0.093699242977476,5,0,0,5,0,0,5
"C1","MARS",5,0.815377901588295,0.0295699769465001,5,1.12646616892735,0.093699242977476,5,0,0,5,0,0,5
"C1","MARS",1,0.815377901588295,0.0295699769465001,5,1.12646616892735,0.093699242977476,5,0,0,5,0,0,5
"C1","RF",100,0.878947808876391,0.0140911593625737,5,0.954323345197938,0.0650553560992689,5,0,0,5,0,0,5
"C1","RF",50,0.879726355342877,0.0128499386113474,5,0.945319219576957,0.0560019496971292,5,-0.000778546466485897,0.0032979288912978,5,-0.00900412562098163,0.0117183752313313,5
"C1","RF",25,0.885444300048392,0.0140882064401157,5,0.92181532783698,0.0589692756445876,5,-0.00649649117200106,0.00467279699273521,5,-0.0325080173609579,0.0176232004757373,5
"C1","RF",10,0.89764398695956,0.00984066530011262,5,0.869444147228197,0.0518009466453481,5,-0.0186961780831691,0.0050007527036425,5,-0.0848791979697416,0.0163367048356119,5
"C1","RF",5,0.909186353371285,0.0133971451608905,5,0.81216303175075,0.0528545575895004,5,-0.030238544494894,0.0133907906156884,5,-0.142160313447189,0.0559678562677303,5
"C1","RF",1,0.85655098347728,0.0538291237963912,5,1.00743882423579,0.196601871403411,5,0.0223968253991114,0.0493686567860706,5,0.0531154790378508,0.198588999864251,5
"C1","TREE",100,0.800992243948587,0.0369510644457083,5,1.17767474671783,0.130535774779481,5,0,0,5,0,0,5
"C1","TREE",50,0.800284521192055,0.0365958687089108,5,1.17948638855536,0.127859171398352,5,0.000707722756532192,0.00414269052439898,5,0.0018116418375238,0.0124719127125877,5
"C1","TREE",25,0.800284521192055,0.0365958687089108,5,1.17948638855536,0.127859171398352,5,0.000707722756532192,0.00414269052439898,5,0.0018116418375238,0.0124719127125877,5
"C1","TREE",10,0.800284521192055,0.0365958687089108,5,1.17948638855536,0.127859171398352,5,0.000707722756532192,0.00414269052439898,5,0.0018116418375238,0.0124719127125877,5
"C1","TREE",5,0.800284521192055,0.0365958687089108,5,1.17948638855536,0.127859171398352,5,0.000707722756532192,0.00414269052439898,5,0.0018116418375238,0.0124719127125877,5
"C1","TREE",1,0.66685495627352,0.0707756179551228,5,1.44463817944613,0.122059185840606,5,0.134137287675067,0.0650820943893529,5,0.266963432728301,0.110116229357477,5
"C2","BAGGING",100,0.769488096724301,0.0131798587060007,5,0.680584568838583,0.022051449901628,5,0,0,5,0,0,5
"C2","BAGGING",50,0.7705320351308,0.0161455627915033,5,0.677798534072554,0.0234591938240691,5,-0.00104393840649883,0.00364406474092952,5,-0.00278603476602892,0.00294048278564334,5
"C2","BAGGING",25,0.764381504653284,0.0201025133907832,5,0.678740923424557,0.0245956257010373,5,0.00510659207101742,0.0108493268811836,5,-0.00184364541402637,0.00741395876223853,5
"C2","BAGGING",10,0.756605869462286,0.0248496341028158,5,0.678357507117381,0.0293686083390579,5,0.0128822272620153,0.0127811488568596,5,-0.00222706172120242,0.00799290972659183,5
"C2","BAGGING",5,0.739990685510844,0.0242360065646095,5,0.685069444805002,0.0274325821231167,5,0.0294974112134578,0.0139826357679197,5,0.00448487596641931,0.00658554357532821,5
"C2","BAGGING",1,0.596800580694652,0.0253261879129335,5,0.768612109386606,0.0262177805304601,5,0.17268751602965,0.0160517291435345,5,0.0880275405480228,0.0100377134170309,5
"C2","BOOSTING",100,0.755521082481215,0.0132266053611522,5,0.696006458592696,0.0254010121232595,5,0,0,5,0,0,5
"C2","BOOSTING",50,0.750295684719491,0.0157810638929965,5,0.699898093996944,0.0241625014219819,5,0.00522539776172366,0.0045862034073737,5,0.00389163540424782,0.00483310874707659,5
"C2","BOOSTING",25,0.748282868036059,0.0183105117595684,5,0.703099161676731,0.0217316352811016,5,0.00723821444515591,0.00800297997155039,5,0.00709270308403465,0.00462690261164279,5
"C2","BOOSTING",10,0.743155204302053,0.0143751146175879,5,0.70335820552939,0.0253777010455053,5,0.0123658781791623,0.00215798959898303,5,0.0073517469366938,0.00134167424478784,5
"C2","BOOSTING",5,0.732208178184038,0.0137363411813354,5,0.709647125774637,0.0233233452932719,5,0.0233129042971772,0.00427956701406626,5,0.0136406671819406,0.00321149353301312,5
"C2","BOOSTING",1,0.651509890748792,0.0329938095752604,5,0.747125713783481,0.0315428195884692,5,0.104011191732423,0.0225613568445841,5,0.0511192551907855,0.0127545029617456,5
"C2","GBLUP",100,0.747993255208468,0.0286609978741787,5,0.635130715368587,0.0256289742417392,5,0,0,5,0,0,5
"C2","GBLUP",50,0.742224222956329,0.0328953325585376,5,0.641218650336939,0.0300533965479166,5,0.0057690322521389,0.00559101639407863,5,0.00608793496835207,0.00687167625790749,5
"C2","GBLUP",25,0.742967704881232,0.0319799558394104,5,0.640874036719424,0.0305111738371876,5,0.00502555032723631,0.00814005803042997,5,0.00574332135083715,0.00928897455616642,5
"C2","GBLUP",10,0.736363600029533,0.0245084826640509,5,0.648564307402844,0.0285900952555113,5,0.0116296551789352,0.0164907448895597,5,0.0134335920342568,0.016206060637954,5
"C2","GBLUP",5,0.710893670047823,0.0306517313917617,5,0.675483237953235,0.0295227220400353,5,0.0370995851606458,0.0119672159409783,5,0.0403525225846482,0.0101911125822399,5
"C2","GBLUP",1,0.472099928326039,0.0606262587508832,5,0.846470767233987,0.0356518641356493,5,0.275893326882429,0.0608728871204253,5,0.2113400518654,0.0351569105801758,5
"C2","MARS",100,0.542679814135486,0.0598246009125492,5,0.814983241101796,0.0464290213229467,5,0,0,5,0,0,5
"C2","MARS",50,0.542679814135486,0.0598246009125492,5,0.814983241101796,0.0464290213229467,5,0,0,5,0,0,5
"C2","MARS",25,0.542679814135486,0.0598246009125492,5,0.814983241101796,0.0464290213229467,5,0,0,5,0,0,5
"C2","MARS",10,0.542679814135486,0.0598246009125492,5,0.814983241101796,0.0464290213229467,5,0,0,5,0,0,5
"C2","MARS",5,0.542679814135486,0.0598246009125492,5,0.814983241101796,0.0464290213229467,5,0,0,5,0,0,5
"C2","MARS",1,0.542679814135486,0.0598246009125492,5,0.814983241101796,0.0464290213229467,5,0,0,5,0,0,5
