"cenario","fold","metodo","percentual_p","p","n_treino","n_teste","seed","runtime_seconds","r_true_g","rmse_true_g","mae_true_g","bias_true_g","slope_true_g","r2_true_g","r_phenotype","rmse_phenotype","r_baseline","rmse_baseline","delta_r","delta_rmse"
"C1",1,"GBLUP",100,4010,800,200,20362108,15.5,0.620572335938096,1.48248841694024,1.17111689323942,0.0121651488474595,0.876665287825914,0.377445771521544,0.50202199790263,1.99686883650429,0.620572335938096,1.48248841694024,0,0
"C1",1,"GBLUP",50,2005,800,200,20362058,11.87,0.61821904766637,1.50603366856035,1.17348194560524,0.00993691225444671,0.797462806230513,0.357513611035123,0.503923372542999,2.00875213083572,0.620572335938096,1.48248841694024,0.00235328827172676,0.0235452516201071
"C1",1,"GBLUP",25,1003,800,200,20362033,13.3,0.622542919860194,1.51168764654245,1.18238721351289,0.00994328685738452,0.769305042537328,0.352680488422287,0.501950013501811,2.02261881606734,0.620572335938096,1.48248841694024,-0.0019705839220977,0.0291992296022148
"C1",1,"GBLUP",10,401,800,200,20362018,9.67,0.647078780181886,1.46143301880959,1.13969976706051,0.0348707666863514,0.808923007592756,0.395004143413532,0.519839736735499,1.98904705649969,0.620572335938096,1.48248841694024,-0.0265064442437896,-0.0210553981306516
"C1",1,"GBLUP",5,201,800,200,20362013,9.42000000000001,0.661296105074844,1.42941492551714,1.13737122037134,0.00402967859815426,0.839078185668973,0.421223092740188,0.550886944625402,1.93132998077125,0.620572335938096,1.48248841694024,-0.0407237691367481,-0.0530734914231028
"C1",1,"GBLUP",1,40,800,200,20362009,9.40000000000001,0.650587873655611,1.43753754310402,1.15602668141812,-0.0313874550624987,0.87678556341493,0.414626630669741,0.555448424187007,1.91616362732568,0.620572335938096,1.48248841694024,-0.0300155377175144,-0.0449508738362177
"C1",1,"MARS",100,4010,800,200,20362208,24.1,0.846648753820029,1.00923474128328,0.791754335569779,-0.102368152633363,0.945650935670244,0.711477986948905,0.698534636908872,1.65020139590887,0.846648753820029,1.00923474128328,0,0
"C1",1,"MARS",50,2005,800,200,20362158,15.3,0.846648753820029,1.00923474128328,0.791754335569779,-0.102368152633363,0.945650935670244,0.711477986948905,0.698534636908872,1.65020139590887,0.846648753820029,1.00923474128328,0,0
"C1",1,"MARS",25,1003,800,200,20362133,3.53,0.846648753820029,1.00923474128328,0.791754335569779,-0.102368152633363,0.945650935670244,0.711477986948905,0.698534636908872,1.65020139590887,0.846648753820029,1.00923474128328,0,0
"C1",1,"MARS",10,401,800,200,20362118,0.810000000000002,0.846648753820029,1.00923474128328,0.791754335569779,-0.102368152633363,0.945650935670244,0.711477986948905,0.698534636908872,1.65020139590887,0.846648753820029,1.00923474128328,0,0
"C1",1,"MARS",5,201,800,200,20362113,0.299999999999983,0.846648753820029,1.00923474128328,0.791754335569779,-0.102368152633363,0.945650935670244,0.711477986948905,0.698534636908872,1.65020139590887,0.846648753820029,1.00923474128328,0,0
"C1",1,"MARS",1,40,800,200,20362109,0.0699999999999932,0.846648753820029,1.00923474128328,0.791754335569779,-0.102368152633363,0.945650935670244,0.711477986948905,0.698534636908872,1.65020139590887,0.846648753820029,1.00923474128328,0,0
"C1",1,"TREE",100,4010,800,200,20362308,8.79,0.820947158938993,1.08124272288336,0.87294365011389,0.0064669621745319,0.919937309434183,0.668837643164043,0.703561425354581,1.63547371603353,0.820947158938993,1.08124272288336,0,0
"C1",1,"TREE",50,2005,800,200,20362258,5.69,0.813481756767871,1.10305735727431,0.883735174581976,-0.00432456229355623,0.910416965153635,0.655340097355661,0.696931689925041,1.65107277322563,0.820947158938993,1.08124272288336,0.00746540217112135,0.0218146343909473
"C1",1,"TREE",25,1003,800,200,20362233,2.16,0.813481756767871,1.10305735727431,0.883735174581976,-0.00432456229355623,0.910416965153635,0.655340097355661,0.696931689925041,1.65107277322563,0.820947158938993,1.08124272288336,0.00746540217112135,0.0218146343909473
"C1",1,"TREE",10,401,800,200,20362218,0.719999999999999,0.813481756767871,1.10305735727431,0.883735174581976,-0.00432456229355623,0.910416965153635,0.655340097355661,0.696931689925041,1.65107277322563,0.820947158938993,1.08124272288336,0.00746540217112135,0.0218146343909473
