"cenario","metodo","percentual_p","media_r","sd_r","media_delta_r","media_rmse","media_delta_rmse"
"C2","RF",1,0.571856387054158,0.0586033478854602,0.201772194203795,0.782911263423094,0.105430957783816
"C2","TREE",100,0.342394523263498,0.0644567701257959,0,0.959546823661428,0
"C2","TREE",10,0.34491844762509,0.0640979976849466,-0.0025239243615916,0.960723492771322,0.00117666910989436
"C2","TREE",1,0.316498990363463,0.0302320165930794,0.0258955329000353,0.932180704268099,-0.0273661193933295
"C3","BAGGING",100,0.780958236160545,0.0349953852957481,0,0.479367988765284,0
"C3","BAGGING",10,0.766520606939057,0.0461597256740182,0.0144376292214884,0.479344201549455,-2.37872158288299e-05
"C3","BAGGING",1,0.646715351819755,0.0681597010830636,0.13424288434079,0.532768249955869,0.0534002611905855
"C3","BOOSTING",100,0.775894553869751,0.0273244537105945,0,0.483977845436588,0
"C3","BOOSTING",10,0.770513440028403,0.032701201734258,0.00538111384134821,0.48522901792413,0.00125117248754125
"C3","BOOSTING",1,0.664638380664742,0.0482414113781578,0.111256173205009,0.531283831849232,0.0473059864126439
"C3","GBLUP",100,0.805637470635843,0.02040215138862,0,0.414013294226471,0
"C3","GBLUP",10,0.776687326886709,0.0267348349321057,0.0289501437491345,0.444223473335901,0.0302101791094298
"C3","GBLUP",1,0.616520898056011,0.0429241493379549,0.189116572579833,0.558393031601214,0.144379737374742
"C3","MARS",100,0.568836989218298,0.035346083867837,0,0.593724116773569,0
"C3","MARS",10,0.568836989218298,0.035346083867837,0,0.593724116773569,0
"C3","MARS",1,0.568836989218298,0.035346083867837,0,0.593724116773569,0
"C3","RF",100,0.782165680356451,0.0363210962808215,0,0.479287789007552,0
"C3","RF",10,0.771050612721826,0.0446304959529332,0.0111150676346253,0.477076458382316,-0.00221133062523583
"C3","RF",1,0.611356933004137,0.0626430545730714,0.170808747352314,0.553590722934225,0.0743029339266732
"C3","TREE",100,0.358074328215802,0.0611871318318084,0,0.725193171658705,0
"C3","TREE",10,0.356303858912141,0.0573284509992741,0.00177046930366119,0.726939095874662,0.00174592421595665
"C3","TREE",1,0.312092240221396,0.0848398207375923,0.0459820879944065,0.688597430952946,-0.0365957407057588
"C4","BAGGING",100,0.836151501013272,0.0133024369973734,0,0.366291580724033,0
"C4","BAGGING",10,0.828510314668491,0.010996224403872,0.00764118634478155,0.363033036093268,-0.00325854463076529
"C4","BAGGING",1,0.700320938087076,0.0188068587395285,0.135830562926196,0.420909058692956,0.0546174779689226
"C4","BOOSTING",100,0.826709667129269,0.0172223392421628,0,0.372188221966695,0
"C4","BOOSTING",10,0.811111199711117,0.0182345634587338,0.0155984674181522,0.378189139848707,0.0060009178820122
"C4","BOOSTING",1,0.726052957152957,0.0265632608286859,0.100656709976312,0.41356798781417,0.0413797658474754
"C4","GBLUP",100,0.850559025680089,0.0158895811873427,0,0.309947451189813,0
"C4","GBLUP",10,0.818410725212428,0.015230252458914,0.0321483004676616,0.344826803788166,0.0348793525983524
"C4","GBLUP",1,0.63188432749012,0.0458637604975612,0.218674698189969,0.466717652769705,0.156770201579892
"C4","MARS",100,0.622925860777418,0.0446918974689534,0,0.479492874630868,0
"C4","MARS",10,0.622925860777418,0.0446918974689534,0,0.479492874630868,0
"C4","MARS",1,0.622925860777418,0.0446918974689534,0,0.479492874630868,0
"C4","RF",100,0.839936997288356,0.0125429503798596,0,0.364953082320519,0
"C4","RF",10,0.818231590312127,0.010120018294518,0.0217054069762296,0.369812085303137,0.00485900298261799
"C4","RF",1,0.701833068036192,0.0233359361951146,0.138103929252165,0.421024368056137,0.0560712857356177
"C4","TREE",100,0.422198693691972,0.0257114599912686,0,0.613714847093968,0
"C4","TREE",10,0.426272264650633,0.0236370073016839,-0.00407357095866053,0.611636552223123,-0.00207829487084465
"C4","TREE",1,0.321666118193744,0.031206778249659,0.100532575498228,0.574192132706608,-0.0395227143873597
"C5","BAGGING",100,0.832360245281031,0.0206382090005067,0,0.287225630235322,0
"C5","BAGGING",10,0.807275349170058,0.020894753479913,0.0250848961109734,0.291672359230492,0.0044467289951698
"C5","BAGGING",1,0.667599299264956,0.0591803824621793,0.164760946016076,0.353101595556193,0.0658759653208712
"C5","BOOSTING",100,0.836414995496392,0.0166920134981907,0,0.279030018482963,0
"C5","BOOSTING",10,0.822031831246976,0.0185525001239047,0.0143831642494163,0.283633067588921,0.00460304910595806
"C5","BOOSTING",1,0.730096844221372,0.0181998825931087,0.10631815127502,0.323981635459341,0.0449516169763781
"C5","GBLUP",100,0.857713094442199,0.015123727695261,0,0.242641223567225,0
"C5","GBLUP",10,0.82271064054434,0.0181521063854225,0.0350024538978584,0.277502321428472,0.0348610978612467
"C5","GBLUP",1,0.600313238212563,0.0274695819348445,0.257399856229636,0.391726308002052,0.149085084434827
"C5","MARS",100,0.617712202569341,0.0532492391822104,0,0.400258629742086,0
"C5","MARS",10,0.617712202569341,0.0532492391822104,0,0.400258629742086,0
"C5","MARS",1,0.617712202569341,0.0532492391822104,0,0.400258629742086,0
"C5","RF",100,0.827613301463965,0.0128699200400538,0,0.287897321462187,0
"C5","RF",10,0.806427109735314,0.00899113208579972,0.0211861917286513,0.293913300188668,0.00601597872648031
"C5","RF",1,0.686655512764587,0.0146101586939997,0.140957788699378,0.343232168379906,0.055334846917719
"C5","TREE",100,0.373457578340617,0.0661770051732982,0,0.537460810518445,0
"C5","TREE",10,0.372636099059638,0.0663144233220881,0.000821479280979687,0.537700963360258,0.000240152841813202
"C5","TREE",1,0.311190003426091,0.0555777142865992,0.0622675749145262,0.469064393866395,-0.0683964166520498
"C6","BAGGING",100,0.852527959999322,0.0162741873861965,0,0.235262905595828,0
"C6","BAGGING",10,0.829237402706,0.0306536358340448,0.0232905572933221,0.240381361062371,0.00511845546654255
"C6","BAGGING",1,0.685830931038857,0.0518369065476042,0.166697028960465,0.302123624664936,0.066860719069108
"C6","BOOSTING",100,0.875423649644933,0.0163608434110872,0,0.225158591993239,0
"C6","BOOSTING",10,0.859943293691517,0.0208725210343135,0.0154803559534164,0.229843926195626,0.00468533420238669
"C6","BOOSTING",1,0.773184288529547,0.0139240148358123,0.102239361115386,0.264823056990251,0.0396644649970125
"C6","GBLUP",100,0.892961087042525,0.00974655049745995,0,0.187332306319251,0
"C6","GBLUP",10,0.840203797192188,0.0129246922282326,0.0527572898503367,0.231361395536181,0.0440290892169298
"C6","GBLUP",1,0.578389057451808,0.0464388644278451,0.314572029590717,0.34436135736735,0.157029051048099
"C6","MARS",100,0.655474974686751,0.0478065744520354,0,0.336321434939511,0
"C6","MARS",10,0.655474974686751,0.0478065744520354,0,0.336321434939511,0
"C6","MARS",1,0.655474974686751,0.0478065744520354,0,0.336321434939511,0
"C6","RF",100,0.853054880067749,0.0228966997387603,0,0.235352550125801,0
"C6","RF",10,0.821287134710266,0.0323571011247509,0.0317677453574831,0.242721082859714,0.00736853273391267
"C6","RF",1,0.675236756805089,0.0684295981504884,0.17781812326266,0.306920217833284,0.071567667707483
"C6","TREE",100,0.408431220487796,0.119013813980924,0,0.442455078402252,0
"C6","TREE",10,0.408431220487796,0.119013813980919,-1.33226762955019e-16,0.442455078402251,-9.99200722162641e-16
"C6","TREE",1,0.316922138636603,0.0535526405824377,0.091509081851193,0.40696171158001,-0.0354933668222424
