"cenario","metodo","media_r","sd_r","media_rmse","sd_rmse"
"C1","BOOSTING",0.913031305624258,0.0119882882717636,0.964598326356937,0.0541393351796913
"C1","BAGGING",0.879181090617269,0.0141275081289428,0.950011037103157,0.0609179027447844
"C1","RF",0.878947808876391,0.0140911593625737,0.954323345197938,0.0650553560992689
"C1","MARS",0.815377901588295,0.0295699769465001,1.12646616892735,0.093699242977476
"C1","TREE",0.800992243948587,0.0369510644457083,1.17767474671783,0.130535774779481
"C1","GBLUP",0.63640912724717,0.0199012157476382,1.50688961894567,0.0173190174117305
"C2","RF",0.773628581257954,0.0132466737020924,0.677480305639278,0.0237857754469457
"C2","BAGGING",0.769488096724301,0.0131798587060007,0.680584568838583,0.022051449901628
"C2","BOOSTING",0.755521082481215,0.0132266053611522,0.696006458592696,0.0254010121232595
"C2","GBLUP",0.747993255208468,0.0286609978741787,0.635130715368587,0.0256289742417392
"C2","MARS",0.542679814135486,0.0598246009125492,0.814983241101796,0.0464290213229467
"C2","TREE",0.342394523263498,0.0644567701257959,0.959546823661428,0.0580643394012498
"C3","GBLUP",0.805637470635843,0.02040215138862,0.414013294226471,0.0233976439126451
"C3","RF",0.782165680356451,0.0363210962808215,0.479287789007552,0.034348342332326
"C3","BAGGING",0.780958236160545,0.0349953852957481,0.479367988765284,0.0332043558216751
"C3","BOOSTING",0.775894553869751,0.0273244537105945,0.483977845436588,0.0302442259258734
"C3","MARS",0.568836989218298,0.035346083867837,0.593724116773569,0.0302807425965352
"C3","TREE",0.358074328215802,0.0611871318318084,0.725193171658705,0.0365235591024799
"C4","GBLUP",0.850559025680089,0.0158895811873427,0.309947451189813,0.0111846872956031
"C4","RF",0.839936997288356,0.0125429503798596,0.364953082320519,0.016307718603406
"C4","BAGGING",0.836151501013272,0.0133024369973734,0.366291580724033,0.0154599385804995
"C4","BOOSTING",0.826709667129269,0.0172223392421628,0.372188221966695,0.0144504704328649
"C4","MARS",0.622925860777418,0.0446918974689534,0.479492874630868,0.0291923664815147
"C4","TREE",0.422198693691972,0.0257114599912686,0.613714847093968,0.0317196173932163
"C5","GBLUP",0.857713094442199,0.015123727695261,0.242641223567225,0.0102302333501646
"C5","BOOSTING",0.836414995496392,0.0166920134981907,0.279030018482963,0.0228860556105
"C5","BAGGING",0.832360245281031,0.0206382090005067,0.287225630235322,0.02300938307847
"C5","RF",0.827613301463965,0.0128699200400538,0.287897321462187,0.0196494004490847
"C5","MARS",0.617712202569341,0.0532492391822104,0.400258629742086,0.0371581370379568
"C5","TREE",0.373457578340617,0.0661770051732982,0.537460810518445,0.0257101539809321
"C6","GBLUP",0.892961087042525,0.00974655049745995,0.187332306319251,0.0109343032115664
"C6","BOOSTING",0.875423649644933,0.0163608434110872,0.225158591993239,0.018837420954866
"C6","RF",0.853054880067749,0.0228966997387603,0.235352550125801,0.020423220117765
"C6","BAGGING",0.852527959999322,0.0162741873861965,0.235262905595828,0.0192949585183261
"C6","MARS",0.655474974686751,0.0478065744520354,0.336321434939511,0.0260073552099203
"C6","TREE",0.408431220487796,0.119013813980924,0.442455078402252,0.0355674157637001
