"cenario","metodo","media_r","sd_r","media_delta_r","sd_delta_r","media_delta_rmse"
"C1","RF",0.89764398695956,0.00984066530011262,-0.0186961780831691,0.0050007527036425,-0.0848791979697416
"C1","GBLUP",0.653960569314822,0.023532774291249,-0.0175514420676517,0.0118022445301562,-0.0247325792073938
"C1","BAGGING",0.887734101208674,0.0109337029822508,-0.00855301059140432,0.00512441636923725,-0.0414875144822024
"C1","BOOSTING",0.915259776744251,0.0130692461535202,-0.00222847111999323,0.00219232617041254,-0.0147346747197259
"C1","MARS",0.815377901588295,0.0295699769465001,0,0,0
"C1","TREE",0.800284521192055,0.0365958687089108,0.000707722756532192,0.00414269052439898,0.0018116418375238
"C2","TREE",0.34491844762509,0.0640979976849466,-0.0025239243615916,0.00398182595210502,0.00117666910989436
"C2","MARS",0.542679814135486,0.0598246009125492,0,0,0
"C2","GBLUP",0.736363600029533,0.0245084826640509,0.0116296551789352,0.0164907448895597,0.0134335920342568
"C2","BOOSTING",0.743155204302053,0.0143751146175879,0.0123658781791623,0.00215798959898303,0.0073517469366938
"C2","BAGGING",0.756605869462286,0.0248496341028158,0.0128822272620153,0.0127811488568596,-0.00222706172120242
"C2","RF",0.754354781112349,0.025481697263936,0.0192738001456048,0.0155528447207263,-0.00012037082845997
"C3","MARS",0.568836989218298,0.035346083867837,0,0,0
"C3","TREE",0.356303858912141,0.0573284509992741,0.00177046930366119,0.00516795141260255,0.00174592421595665
"C3","BOOSTING",0.770513440028403,0.032701201734258,0.00538111384134821,0.00620270966827768,0.00125117248754125
"C3","RF",0.771050612721826,0.0446304959529332,0.0111150676346253,0.0103917141393736,-0.00221133062523583
"C3","BAGGING",0.766520606939057,0.0461597256740182,0.0144376292214884,0.013453143365372,-2.37872158288299e-05
"C3","GBLUP",0.776687326886709,0.0267348349321057,0.0289501437491345,0.00757192056572539,0.0302101791094298
"C4","TREE",0.426272264650633,0.0236370073016839,-0.00407357095866053,0.00925433610199634,-0.00207829487084465
"C4","MARS",0.622925860777418,0.0446918974689534,0,0,0
"C4","BAGGING",0.828510314668491,0.010996224403872,0.00764118634478155,0.00849631575942151,-0.00325854463076529
"C4","BOOSTING",0.811111199711117,0.0182345634587338,0.0155984674181522,0.00443985560277274,0.0060009178820122
"C4","RF",0.818231590312127,0.010120018294518,0.0217054069762296,0.00460276585789652,0.00485900298261799
"C4","GBLUP",0.818410725212428,0.015230252458914,0.0321483004676616,0.00659018031862172,0.0348793525983524
"C5","MARS",0.617712202569341,0.0532492391822104,0,0,0
"C5","TREE",0.372636099059638,0.0663144233220881,0.000821479280979687,0.00183688351438229,0.000240152841813202
"C5","BOOSTING",0.822031831246976,0.0185525001239047,0.0143831642494163,0.00628323186171745,0.00460304910595806
"C5","RF",0.806427109735314,0.00899113208579972,0.0211861917286513,0.00616771567869642,0.00601597872648031
"C5","BAGGING",0.807275349170058,0.020894753479913,0.0250848961109734,0.020823929055668,0.0044467289951698
"C5","GBLUP",0.82271064054434,0.0181521063854225,0.0350024538978584,0.0182043215840317,0.0348610978612467
"C6","TREE",0.408431220487796,0.119013813980919,-1.33226762955019e-16,6.99138653565699e-15,-9.99200722162641e-16
"C6","MARS",0.655474974686751,0.0478065744520354,0,0,0
"C6","BOOSTING",0.859943293691517,0.0208725210343135,0.0154803559534164,0.010261403405582,0.00468533420238669
"C6","BAGGING",0.829237402706,0.0306536358340448,0.0232905572933221,0.0144589766710269,0.00511845546654255
"C6","RF",0.821287134710266,0.0323571011247509,0.0317677453574831,0.0144415669443238,0.00736853273391267
"C6","GBLUP",0.840203797192188,0.0129246922282326,0.0527572898503367,0.0135378061953617,0.0440290892169298
