"cenario","metodo","media_r","sd_r","media_delta_r","sd_delta_r","media_delta_rmse"
"C1","BOOSTING",0.927655068703259,0.0155133259032359,-0.0146237630790017,0.00435306326961295,-0.101103927660869
"C1","BAGGING",0.886100169410271,0.0452833078228311,-0.00691907879300182,0.0411430961385357,-0.0485485509311448
"C1","MARS",0.815377901588295,0.0295699769465001,0,0,0
"C1","RF",0.85655098347728,0.0538291237963912,0.0223968253991114,0.0493686567860706,0.0531154790378508
"C1","GBLUP",0.606823179620905,0.0849575285545795,0.0295859476262649,0.0776316647449455,0.0347722397417634
"C1","TREE",0.66685495627352,0.0707756179551228,0.134137287675067,0.0650820943893529,0.266963432728301
"C2","MARS",0.542679814135486,0.0598246009125492,0,0,0
"C2","TREE",0.316498990363463,0.0302320165930794,0.0258955329000353,0.0531663621568616,-0.0273661193933295
"C2","BOOSTING",0.651509890748792,0.0329938095752604,0.104011191732423,0.0225613568445841,0.0511192551907855
"C2","BAGGING",0.596800580694652,0.0253261879129335,0.17268751602965,0.0160517291435345,0.0880275405480228
"C2","RF",0.571856387054158,0.0586033478854602,0.201772194203795,0.0473306638468614,0.105430957783816
"C2","GBLUP",0.472099928326039,0.0606262587508832,0.275893326882429,0.0608728871204253,0.2113400518654
"C3","MARS",0.568836989218298,0.035346083867837,0,0,0
"C3","TREE",0.312092240221396,0.0848398207375923,0.0459820879944065,0.0562650566817512,-0.0365957407057588
"C3","BOOSTING",0.664638380664742,0.0482414113781578,0.111256173205009,0.021870637012028,0.0473059864126439
"C3","BAGGING",0.646715351819755,0.0681597010830636,0.13424288434079,0.0737782711052131,0.0534002611905855
"C3","RF",0.611356933004137,0.0626430545730714,0.170808747352314,0.0497538434018606,0.0743029339266732
"C3","GBLUP",0.616520898056011,0.0429241493379549,0.189116572579833,0.0512482340480571,0.144379737374742
"C4","MARS",0.622925860777418,0.0446918974689534,0,0,0
"C4","TREE",0.321666118193744,0.031206778249659,0.100532575498228,0.0554009018763396,-0.0395227143873597
"C4","BOOSTING",0.726052957152957,0.0265632608286859,0.100656709976312,0.0169105564907119,0.0413797658474754
"C4","BAGGING",0.700320938087076,0.0188068587395285,0.135830562926196,0.0210536489167688,0.0546174779689226
"C4","RF",0.701833068036192,0.0233359361951146,0.138103929252165,0.0186582448548979,0.0560712857356177
"C4","GBLUP",0.63188432749012,0.0458637604975612,0.218674698189969,0.0385283424375108,0.156770201579892
"C5","MARS",0.617712202569341,0.0532492391822104,0,0,0
"C5","TREE",0.311190003426091,0.0555777142865992,0.0622675749145262,0.107141309589711,-0.0683964166520498
"C5","BOOSTING",0.730096844221372,0.0181998825931087,0.10631815127502,0.016936485170333,0.0449516169763781
"C5","RF",0.686655512764587,0.0146101586939997,0.140957788699378,0.0222545165837393,0.055334846917719
"C5","BAGGING",0.667599299264956,0.0591803824621793,0.164760946016076,0.05378472383164,0.0658759653208712
"C5","GBLUP",0.600313238212563,0.0274695819348445,0.257399856229636,0.0312437158744587,0.149085084434827
"C6","MARS",0.655474974686751,0.0478065744520354,0,0,0
"C6","TREE",0.316922138636603,0.0535526405824377,0.091509081851193,0.145182300795829,-0.0354933668222424
"C6","BOOSTING",0.773184288529547,0.0139240148358123,0.102239361115386,0.0117648866205831,0.0396644649970125
"C6","BAGGING",0.685830931038857,0.0518369065476042,0.166697028960465,0.0479795315559222,0.066860719069108
"C6","RF",0.675236756805089,0.0684295981504884,0.17781812326266,0.0553028629137709,0.071567667707483
"C6","GBLUP",0.578389057451808,0.0464388644278451,0.314572029590717,0.0470039581012805,0.157029051048099
