"metodo","media_r_reduzido","perda_media_r","media_r_baseline","rank_robustez_preditiva","rank_estabilidade_relativa"
"BOOSTING",0.806275144230529,0.0242240648104405,0.83049920904097,1,3
"BAGGING",0.790632580861328,0.0344786074379618,0.82511118829929,2,4
"RF",0.786550114638694,0.039341093579784,0.825891208218478,3,5
"GBLUP",0.737519346080107,0.0610261639626089,0.798545510042716,4,6
"MARS",0.637167957162598,0,0.637167957162598,5,1
"TREE",0.436004914543644,0.014919850114401,0.450924764658045,6,2
